iso3,lat,lon,adminid,pop,closest_dist_0,closest_dist_1,closestid0,closestid1,id
COL,1.229166667,-78.1875,COL.21.46_1_gadm36,334.8258362,9273.362258,9273.362258,1010384,1010384,291
COL,0.979166667,-78.14583333,COL.21.46_1_gadm36,939.2724609,3088.736603,3088.736603,1010353,1010353,298
COL,1.0625,-78.14583333,COL.21.46_1_gadm36,421.8379517,5254.987658,5254.987658,1010389,1010389,302
COL,1.229166667,-78.14583333,COL.21.46_1_gadm36,338.7141724,5038.560515,5038.560515,1010384,1010384,316
COL,1.0625,-78.10416667,COL.21.46_1_gadm36,427.3603821,9220.75884,9220.75884,1010353,1010353,324
COL,2.1875,-78.22916667,COL.21.39_1_gadm36,889.4284058,2577.476023,2577.476023,1010302,1010302,248
COL,0.979166667,-78.10416667,COL.21.14_1_gadm36,1040.815186,4733.454574,4733.454574,985165,985165,322
COL,0.9375,-78.10416667,COL.21.14_1_gadm36,1007.117432,945.4878413,945.4878413,985165,985165,323
COL,2.3125,-78.22916667,COL.21.31_1_gadm36,887.5856934,4589.51417,6269.859273,1010325,1010317,249
COL,2.395833333,-78.14583333,COL.21.16_1_gadm36,437.5751953,2648.347824,2648.347824,1009911,1009911,300
COL,2.354166667,-78.14583333,COL.21.16_1_gadm36,436.4727783,1294.682787,1294.682787,1009926,1009926,301
COL,2.645833333,-78.1875,COL.21.55_1_gadm36,208.5247192,3890.156214,3890.156214,1010033,1010033,289
COL,2.395833333,-78.22916667,COL.21.31_1_gadm36,855.2223511,2462.567703,2462.567703,1023332,1023332,251
COL,2.270833333,-78.22916667,COL.21.31_1_gadm36,883.1079712,3346.22125,10059.00017,1010325,1009910,252
COL,2.479166667,-78.22916667,COL.21.31_1_gadm36,792.010437,3399.123132,4192.388476,1009946,1010312,255
COL,2.3125,-78.1875,COL.21.31_1_gadm36,753.2481689,6157.719221,7236.37487,1023014,1010025,273
COL,2.395833333,-78.1875,COL.21.31_1_gadm36,728.0039673,258.7243891,258.7243891,1010080,1010080,275
COL,2.229166667,-78.1875,COL.21.31_1_gadm36,706.6364746,3997.042961,6539.682361,1010302,1009910,277
